Fecha,Cliente,Producto/Servicio,Centro de Costo,Comprobante,Tipo,Codigo/SKU,Descripción del Producto,Observaciones,Moneda,Vendedor,Cantidad,Precio,Descuento,Importe Mon. Transacción,Importe Mon. Ppal.
2/2/2026,GAVIGLIO COMERCIAL S. A.,Portal de clientes y proveedores-Liquidación de fletes,Licencia,A-00007-00000829,Factura,,(400USD   TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,294000,0,294000,294000
2/2/2026,CEREALES QUEMU S A,Logística - Integración MUVIN / ALGORITMO,Licencia,A-00007-00000831,Factura,,(200USD TC a 470 al 02/02/2026),,Pesos Argentinos,,1,294000,0,294000,294000
2/2/2026,ORTEGA HERMANOS S A,Legajo Digital y Firma Electrónica - Onboarding,Licencia,A-00007-00000827,Factura,,(123 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,180810,0,180810,180810
2/2/2026,MAS AGRO CENTRO S.A.S.,Marketing - Gestión de Pedidos,Licencia,A-00007-00000826,Factura,,(65 USD    TC a 1470 al 02/02/2026),,Pesos Argentinos,,1,95550,0,95550,95550
2/2/2026,GAVIGLIO COMERCIAL S. A.,Servicio al 21%,Licencia,A-00007-00000088,Nota de Crédito,SERV21,NC Comercial - Acuerdo con fecha 02-02-2026,,Pesos Argentinos,,-1,14330797,0,-14330797,-14330797
28/1/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000801,Factura,,1170 USD + IVA al TC 28-01-2026 1442.50 DIVISA,"Las mejoras suman un total de 90 horas.
Requerimientos atendidos: 
24,* Factura 01/01",Pesos Argentinos,,1,1687725,0,1687725,1687725
28/1/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000087,Nota de Crédito,,	 4050 USD + IVA al TC 23-01-2026 1433 DIVISA,"Las mejoras suman un total de 90 horas.
Requerimientos atendidos: 
24,*",Pesos Argentinos,,-1,5803650,0,-5803650,-5803650
23/1/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000800,Factura,,	 4050 USD + IVA al TC 23-01-2026 1433 DIVISA,"Las mejoras suman un total de 90 horas.
Requerimientos atendidos: 
24,*",Pesos Argentinos,,1,5803650,0,5803650,5803650
22/1/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,Desarrollo a medida,A medida,A-00007-00000799,Factura,, Provisión de Servicios de Software (USD 21.855 TC a 1. 455 al 21/01/2026,,Pesos Argentinos,,1,31799025,0,31799025,31799025
22/1/2026,ARECO SEMILLAS S.A.,Portal Clientes y Proveedores I Mercado de Granos I Cotizador de Insumos,Licencia,A-00007-00000798,Factura,,2500 USD + IVA  al TC  21-01-2026 1455,,Pesos Argentinos,,1,3637500,0,3637500,3637500
21/1/2026,ARECO SEMILLAS S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000086,Nota de Crédito,,(800 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,-1,1196000,0,-1196000,-1196000
21/1/2026,ARECO SEMILLAS S.A.,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000086,Nota de Crédito,,(1200 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,-1,1794000,0,-1794000,-1794000
21/1/2026,ARECO SEMILLAS S.A.,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000086,Nota de Crédito,,(1200 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,-1,1794000,0,-1794000,-1794000
19/1/2026,MARTIN ABEL ALASIA,Cotizador de insumos/CRM/Administración/Integraciones,Licencia,A-00007-00000085,Nota de Crédito,,	 1000 USD +IVA al TC 1515 del Dia ,"Medio de pago: Transferencia Bancaria 
Precio total: U$S 1000 + iva 21%(final por 6 meses)
Plazo de Vigencia de la Licencia: Desde: 16/10/2025 hasta 16/03/2026",Pesos Argentinos,,-1,1515000,0,-1515000,-1515000
16/1/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000797,Factura,,1710 USD + IVA divisa 16-01-2026 $1430,"Las mejoras suman un total de 38 horas.
Requerimientos atendidos: 31,23,30,***",Pesos Argentinos,,1,2445300,0,2445300,2445300
12/1/2026,RECTA AGRO S.A.,Customizing,On Demand,A-00007-00000796,Factura,,5310 USD + IVA al TC 1490 del 12-01-26,"Las mejoras realizadas desde diciembre hasta el 08/01/2026 suman un total de 118 horas. Requerimientos atendidos: 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 15, 18 y 22.",Pesos Argentinos,,1,7911900,0,7911900,7911900
12/1/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,A medida/Autoadministración de BOT,A medida,A-00007-00000795,Factura,,900 USD al TC 12-01-2026 $1490,OC es 27464. ,Pesos Argentinos,,1,1341000,0,1341000,1341000
8/1/2026,CAIO BIBILONI Y CIA S.R.L.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000084,Nota de Crédito,,(1040 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,-1,1554800,0,-1554800,-1554800
7/1/2026,RECTA AGRO S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000793,Factura,,(1800USD   TC a 1490 al 07/01/2026), Factura Licencia- submódulo Cuenta Digital,Pesos Argentinos,,1,2682000,0,2682000,2682000
7/1/2026,CONCI S.A,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000794,Factura,,(500USD  TC a 1490 al 07/01/2026),,Pesos Argentinos,,1,745000,0,745000,745000
2/1/2026,GRUAS SAN BLAS S A,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000771,Factura,,(1800 USD TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,2691000,0,2691000,2691000
2/1/2026,DAEMAR S.A. S. E. E.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000769,Factura,,(1761 USD TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,2632695,0,2632695,2632695
2/1/2026,FER SEM S A C A I F Y M,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000781,Factura,,(1456 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,2176720,0,2176720,2176720
2/1/2026,GAVIGLIO COMERCIAL S. A.,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000786,Factura,,(1200USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,CEREALES QUEMU S A,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000789,Factura,,(1200USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,ARECO SEMILLAS S.A.,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000785,Factura,,(1200 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,ARECO SEMILLAS S.A.,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000785,Factura,,(1200 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,GAVIGLIO COMERCIAL S. A.,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000786,Factura,,(1200USD TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,GROBOCOPATEL HERMANOS SOCIEDAD  ANONIMA,"Mercado de Granos -  Gestión de Contratos, fijaciones y pesificaciones de granos",Licencia,A-00007-00000788,Factura,,(1200USD  TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1794000,0,1794000,1794000
2/1/2026,MAS AGRO CENTRO S.A.S.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000783,Factura,,(1040 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1554800,0,1554800,1554800
2/1/2026,CAIO BIBILONI Y CIA S.R.L.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000780,Factura,,(1040 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1554800,0,1554800,1554800
2/1/2026,EDUARDO BERAZA S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000779,Factura,,(1040 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1554800,0,1554800,1554800
2/1/2026,GAVIGLIO COMERCIAL S. A.,Desarrollo a medida,A medida,A-00007-00000787,Factura,,Acompañamiento de producto (1000USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1495000,0,1495000,1495000
2/1/2026,GAVIGLIO COMERCIAL S. A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000786,Factura,,(800USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1196000,0,1196000,1196000
2/1/2026,PUERTO ARROYO SECO SA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000775,Factura,,(800 USD TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1196000,0,1196000,1196000
2/1/2026,GROBOCOPATEL HERMANOS SOCIEDAD  ANONIMA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000788,Factura,,(800USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1196000,0,1196000,1196000
2/1/2026,TOMAS HNOS Y CIA SA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000790,Factura,,(800USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1196000,0,1196000,1196000
2/1/2026,ARECO SEMILLAS S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000785,Factura,,(800 USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,1196000,0,1196000,1196000
2/1/2026,BOLSA DE COMERCIO DE ROSARIO ASOCIACION CIVIL,Marketing - Gestión de campañas de marketing/Gestión de pedidos,Licencia,A-00007-00000792,Factura,,(700USD   TC a 1495 al 02/01/2026),"Factura licencia Agromodo. Forma de Pago: Transferencia CBU 0720408520000000132918
Fecha de Pago: 1 día hábil de cada mes. Plazo de vínculo de comercial: 10/09/2025 al 10/09/2026.Renovación automática ",Pesos Argentinos,,1,1046500,0,1046500,1046500
2/1/2026,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000778,Factura,,(650 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,971750,0,971750,971750
2/1/2026,FER SEM S A C A I F Y M,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000781,Factura,,(624 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,932880,0,932880,932880
2/1/2026,ORTEGA HERMANOS S A,Cotizador de Insumos - Cotizador con lista de precios,Licencia,A-00007-00000784,Factura,,(613 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,916435,0,916435,916435
2/1/2026,GRUPO UNUS S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000763,Factura,,(570 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,852150,0,852150,852150
2/1/2026,"COOPERATIVA AGRICOLA GANADERA ""CAMILO ALDAO"" LIMITADA",Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000761,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,AGROSUR S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000758,Factura,,(520 USD  TC a 1495 02/01/26),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,BARTOLO J PONS S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000759,Factura,,(520 USD  TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,HECTOR A  BOLZAN Y CIA  S R L,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000760,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,MAS AGRO CENTRO S.A.S.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000783,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,COOPERATIVA AGROPECUARIA LA PAZ LTDA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000766,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,GALVEZ CEREALES S.A.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000762,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,COOPERATIVA AGRICOLA CONESA LIMITADA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000777,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,FRANCISCO SELLART S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000772,Factura,,(520 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,777400,0,777400,777400
2/1/2026,KIOSHI STONE SA,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000765,Factura,,(500 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,747500,0,747500,747500
2/1/2026,LA BRAGADENSE SOCIEDAD ANONIMA,Logística - Logística de fertilizantes,Licencia,A-00007-00000791,Factura,,(500USD TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,747500,0,747500,747500
2/1/2026,GAVIGLIO COMERCIAL S. A.,Logística - Logística de fertilizantes,Licencia,A-00007-00000786,Factura,,(500USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,747500,0,747500,747500
2/1/2026,ORTEGA HERMANOS S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000784,Factura,,(491 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,734045,0,734045,734045
2/1/2026,EDP AGROINDUSTRIAL S.A.,Marketing - Gestión de campañas de marketing,Licencia,A-00007-00000770,Factura,,(470 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,702650,0,702650,702650
2/1/2026,NUTRALMIX S.R.L.,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000776,Factura,,(400 USD    TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,598000,0,598000,598000
2/1/2026,CEREALES QUEMU S A,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000789,Factura,,(400USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,598000,0,598000,598000
2/1/2026,GAVIGLIO COMERCIAL S. A.,Portal de clientes y proveedores-Liquidación de fletes,Licencia,A-00007-00000786,Factura,,(400USD   TC a 1495 al 02/01/2026),,Pesos Argentinos,,1,598000,0,598000,598000
2/1/2026,GUAZZARONI GRECO SOCIEDAD ANONIMA,Portal Clientes y Proveedores - Cuenta Digital,Licencia,A-00007-00000782,Factura,,(400 USD    TC a 1495 al 02/01/2026),Bonifica Cuenta Digital Logistica Diesel ,Pesos Argentinos,,1,598000,0,598000,598000
